Movie,IMDb Rating
1. The Shawshank Redemption,9.3
2. The Godfather,9.2
3. The Dark Knight,9.0
4. The Godfather Part II,9.0
5. 12 Angry Men,9.0
6. Schindler's List,9.0
7. The Lord of the Rings: The Return of the King,9.0
8. Pulp Fiction,8.9
9. The Lord of the Rings: The Fellowship of the Ring,8.9
"10. The Good, the Bad and the Ugly",8.8
11. Forrest Gump,8.8
12. The Lord of the Rings: The Two Towers,8.8
13. Fight Club,8.8
14. Inception,8.8
15. Star Wars: Episode V - The Empire Strikes Back,8.7
16. The Matrix,8.7
17. GoodFellas,8.7
18. One Flew Over the Cuckoo's Nest,8.7
19. Se7en,8.6
20. It's a Wonderful Life,8.6
21. Interstellar,8.7
22. Seven Samurai,8.6
23. The Silence of the Lambs,8.6
24. Saving Private Ryan,8.6
25. City of God,8.6
26. La vita è bella,8.6
27. The Green Mile,8.6
28. Terminator 2: Judgment Day,8.6
29. Star Wars,8.6
30. Back to the Future,8.5
31. Sen to Chihiro no kamikakushi,8.6
32. The Pianist,8.5
33. Spider-Man: Across the Spider-Verse,8.6
34. Gisaengchung,8.5
35. Psycho,8.5
36. Gladiator,8.5
37. The Lion King,8.5
38. Léon,8.5
39. The Departed,8.5
40. American History X,8.5
41. Whiplash,8.5
42. The Prestige,8.5
43. Hotaru no haka,8.5
44. Harakiri,8.6
45. The Usual Suspects,8.5
46. Casablanca,8.5
47. Intouchables,8.5
48. Modern Times,8.5
49. Cinema Paradiso,8.5
50. Rear Window,8.5
51. Once Upon a Time in the West,8.5
52. 12th Fail,9.1
53. Alien,8.5
54. City Lights,8.5
55. Apocalypse Now,8.4
56. Django Unchained,8.5
57. Memento,8.4
58. WALL·E,8.4
59. Raiders of the Lost Ark,8.4
60. The Lives of Others,8.4
61. Sunset Blvd.,8.4
62. Paths of Glory,8.4
63. Avengers: Infinity War,8.4
64. Spider-Man: Into the Spider-Verse,8.4
65. The Shining,8.4
66. Witness for the Prosecution,8.4
67. The Great Dictator,8.4
68. Aliens,8.4
69. Inglourious Basterds,8.4
70. The Dark Knight Rises,8.4
71. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4
72. American Beauty,8.3
73. Oldeuboi,8.3
74. Coco,8.4
75. Amadeus,8.4
76. Toy Story,8.3
77. The Boat,8.4
78. Braveheart,8.3
79. Avengers: Endgame,8.4
80. Joker,8.4
81. Mononoke-hime,8.3
82. Good Will Hunting,8.3
83. Oppenheimer,8.4
84. Kimi no na wa.,8.4
85. Once Upon a Time in America,8.3
86. Tengoku to jigoku,8.4
87. 3 Idiots,8.4
88. Singin' in the Rain,8.3
89. Capernaum,8.4
90. Requiem for a Dream,8.3
91. Come and See,8.4
92. Toy Story 3,8.3
93. Star Wars: Episode VI - Return of the Jedi,8.3
94. Eternal Sunshine of the Spotless Mind,8.3
95. Jagten,8.3
96. 2001: A Space Odyssey,8.3
97. Poor Things,8.4
98. Reservoir Dogs,8.3
99. Ikiru,8.3
100. Lawrence of Arabia,8.3
101. The Apartment,8.3
102. Ciudadano Kane,8.3
103. North by Northwest,8.3
104. M - Eine Stadt sucht einen Mörder,8.3
105. Vertigo,8.3
106. Double Indemnity,8.3
107. Scarface,8.3
108. Incendies,8.3
109. Amélie,8.3
110. Full Metal Jacket,8.3
111. A Clockwork Orange,8.3
112. Heat,8.3
113. Up,8.3
114. To Kill a Mockingbird,8.3
115. The Sting,8.3
116. A Separation,8.3
117. Indiana Jones and the Last Crusade,8.2
118. Die Hard,8.2
119. Hamilton,8.3
120. Metropolis,8.3
121. Taare Zameen Par,8.3
122. Snatch,8.2
123. L.A. Confidential,8.2
124. Ladri di biciclette,8.3
125. 1917,8.2
126. Taxi Driver,8.2
127. Downfall,8.2
128. Dangal,8.3
129. For a Few Dollars More,8.2
130. Batman Begins,8.2
131. The Wolf of Wall Street,8.2
132. Some Like It Hot,8.2
133. The Kid,8.2
134. Green Book,8.2
135. The Father,8.2
136. Top Gun: Maverick,8.2
137. Judgment at Nuremberg,8.3
138. All About Eve,8.2
139. The Truman Show,8.2
140. There Will Be Blood,8.2
141. Shutter Island,8.2
142. Casino,8.2
143. Ran,8.2
144. Jurassic Park,8.2
145. The Sixth Sense,8.2
146. Pan's Labyrinth,8.2
147. Unforgiven,8.2
148. A Beautiful Mind,8.2
149. No Country for Old Men,8.2
150. The Thing,8.2
151. The Treasure of the Sierra Madre,8.2
152. Yojimbo,8.2
153. Kill Bill: Vol. 1,8.2
154. Monty Python and the Holy Grail,8.2
155. The Great Escape,8.2
156. Finding Nemo,8.2
157. Rashômon,8.2
158. The Elephant Man,8.2
159. Howl's Moving Castle,8.2
160. Prisoners,8.1
161. Chinatown,8.1
162. Dial M for Murder,8.2
163. Gone with the Wind,8.2
164. V for Vendetta,8.2
"165. Lock, Stock and Two Smoking Barrels",8.1
166. The Secret in Their Eyes,8.2
167. Raging Bull,8.1
168. Inside Out,8.1
"169. Three Billboards Outside Ebbing, Missouri",8.1
170. Trainspotting,8.1
171. The Bridge on the River Kwai,8.1
172. Spider-Man: No Way Home,8.2
173. Fargo,8.1
174. Warrior,8.1
175. Klaus,8.2
176. Catch Me If You Can,8.1
177. Godzilla Minus One,8.3
178. Gran Torino,8.1
179. My Neighbor Totoro,8.1
180. Million Dollar Baby,8.1
181. Harry Potter and the Deathly Hallows: Part 2,8.1
182. Bacheha-Ye aseman,8.2
183. 12 Years a Slave,8.1
184. Blade Runner,8.1
185. Before Sunrise,8.1
186. The Grand Budapest Hotel,8.1
187. Ben-Hur,8.1
188. Barry Lyndon,8.1
189. Gone Girl,8.1
190. The Gold Rush,8.1
191. Hacksaw Ridge,8.1
192. In the Name of the Father,8.1
193. ฆาตกรรม ความตาย และสายฝน,8.1
194. On the Waterfront,8.1
195. Dead Poets Society,8.1
196. The General,8.1
197. The Deer Hunter,8.1
198. Wild Tales,8.1
199. Mad Max: Fury Road,8.1
200. Sherlock Jr.,8.2
"201. Monsters, Inc.",8.1
202. The Third Man,8.1
203. Smultronstället,8.1
204. Le salaire de la peur,8.2
205. Jaws,8.1
206. How to Train Your Dragon,8.1
207. Mary and Max.,8.1
208. Mr. Smith Goes to Washington,8.1
209. Ford v Ferrari,8.1
210. Ratatouille,8.1
211. Det sjunde inseglet,8.1
212. Room,8.1
213. The Big Lebowski,8.1
214. Tôkyô monogatari,8.1
215. Rocky,8.1
216. Logan,8.1
217. Spotlight,8.1
218. Hotel Rwanda,8.1
219. Platoon,8.1
220. The Terminator,8.1
221. La passion de Jeanne d'Arc,8.1
222. Jai Bhim,8.7
223. Antes del atardecer,8.1
224. The Best Years of Our Lives,8.1
225. La Haine,8.1
226. The Exorcist,8.1
227. Rush,8.1
228. Network,8.1
229. Pirates of the Caribbean: The Curse of the Black Pearl,8.1
230. Stand by Me,8.1
231. The Wizard of Oz,8.1
232. The Incredibles,8.0
233. Into the Wild,8.1
234. Hachi: A Dog's Tale,8.1
235. The Handmaiden,8.1
236. Babam ve Oglum,8.2
237. To Be or Not to Be,8.1
238. The Sound of Music,8.1
239. The Grapes of Wrath,8.1
240. Groundhog Day,8.0
241. La battaglia di Algeri,8.1
242. Amores perros,8.1
243. Rebecca,8.1
244. Cool Hand Luke,8.1
245. The Iron Giant,8.1
246. The Help,8.1
247. It Happened One Night,8.1
248. Les quatre cents coups,8.1
249. Drishyam,8.2
250. Aladdin,8.0
